project,classifier,fold,balanced_acc,feature_extraction
gcc,vc,13,0.558021848031616,bert
gcc,vc,14,0.5760666972529678,bert
gcc,vc,15,0.5703377012515949,bert
gcc,vc,16,0.5643895348837209,bert
gcc,vc,17,0.5800290343393792,bert
gcc,vc,18,0.5607176109057053,bert
gcc,vc,19,0.5621021505376345,bert
gcc,vc,20,0.5838524738577265,bert
gcc,vc,21,0.5662650602409638,bert
gcc,vc,22,0.5719481749311295,bert
gcc,vc,23,0.5604088369867359,bert
gcc,vc,24,0.5903774464119291,bert
gcc,vc,25,0.5634792527548209,bert
gcc,vc,26,0.5675082681293862,bert
gcc,vc,27,0.5582329317269077,bert
gcc,vc,28,0.5738852247472936,bert
gcc,vc,29,0.568921634173315,bert
gcc,vc,30,0.5665968822872547,bert
gcc,vc,31,0.5422326938622607,bert
gcc,vc,32,0.5601371306504566,bert
gcc,vc,33,0.5682730923694779,bert
gcc,vc,34,0.5790747193186219,bert
gcc,vc,35,0.5371236559139785,bert
gcc,vc,36,0.5609624305266332,bert
gcc,vc,37,0.5943775100401607,bert
gcc,vc,38,0.5530714336943269,bert
gcc,vc,39,0.5571415706051873,bert
gcc,vc,40,0.562765238376127,bert
gcc,vc,41,0.5868235947706562,bert
gcc,vc,42,0.5685035648237178,bert
gcc,vc,43,0.5714631782945736,bert
gcc,vc,44,0.5676017846383381,bert
gcc,vc,45,0.5833158424420513,bert
gcc,vc,46,0.5518866146481209,bert
gcc,vc,47,0.5791990436341901,bert
gcc,vc,48,0.5627150537634409,bert
gcc,vc,49,0.5621683636885129,bert
